Candidate,Poll_Percent,Date,Wikipedia_Traffic,,
Michael Bennet,.0,07/25/19,1261.0,,
Joe Biden,28.0,07/25/19,6657.0,,
Cory Booker,1.0,07/25/19,4884.0,,
Steve Bullock,.0,07/25/19,15.0,,
Pete Buttigieg,5.0,07/25/19,5562.0,,
Julian Castro,1.0,07/25/19,3396.0,,
Bill de Blasio,1.0,07/25/19,4245.0,,
John Delaney,.0,07/25/19,28.0,,
Tulsi Gabbard,.0,07/25/19,12457.0,,
Kirsten Gillibrand,.0,07/25/19,2823.0,,
Mike Gravel,.0,07/25/19,1289.0,,
Kamala Harris,10.0,07/25/19,12765.0,,
John Hickenlooper,.0,07/25/19,713.0,,
Jay Inslee,.0,07/25/19,758.0,,
Amy Klobuchar,1.0,07/25/19,1218.0,,
Wayne Messam,.0,07/25/19,306.0,,
Seth Moulton,.0,07/25/19,634.0,,
Beto O'Rourke,3.0,07/25/19,3211.0,,
Tim Ryan,1.0,07/25/19,44.0,,
Joe Sestak,.0,07/25/19,408.0,,
Tom Steyer,.0,07/25/19,2700.0,,
Elizabeth Warren,10.0,07/25/19,6405.0,,
Marianne Williamson,.0,07/25/19,5366.0,,
Andrew Yang,1.0,07/25/19,6616.0,,
Michael Bennet,.0,07/23/19,1471.0,,
Joe Biden,25.0,07/23/19,5476.0,,
Cory Booker,2.0,07/23/19,7931.0,,
Steve Bullock,1.0,07/23/19,16.0,,
Pete Buttigieg,6.0,07/23/19,6927.0,,
Julian Castro,3.0,07/23/19,2295.0,,
Bill de Blasio,1.0,07/23/19,6168.0,,
John Delaney,.0,07/23/19,32.0,,
Tulsi Gabbard,2.0,07/23/19,12982.0,,
Kirsten Gillibrand,.0,07/23/19,6714.0,,
Mike Gravel,.0,07/23/19,1089.0,,
Kamala Harris,9.0,07/23/19,14048.0,,
John Hickenlooper,.0,07/23/19,1523.0,,
Jay Inslee,.0,07/23/19,821.0,,
Amy Klobuchar,1.0,07/23/19,1809.0,,
Wayne Messam,.0,07/23/19,337.0,,
Seth Moulton,.0,07/23/19,771.0,,
Beto O'Rourke,2.0,07/23/19,7025.0,,
Tim Ryan,.0,07/23/19,64.0,,
Joe Sestak,.0,07/23/19,433.0,,
Tom Steyer,1.0,07/23/19,5267.0,,
Elizabeth Warren,18.0,07/23/19,8128.0,,
Marianne Williamson,.0,07/23/19,13767.0,,
Andrew Yang,2.0,07/23/19,4452.0,,
Joe Biden,33.0,07/23/19,5476.0,,
Elizabeth Warren,12.0,07/23/19,8128.0,,
Kamala Harris,10.0,07/23/19,14048.0,,
Pete Buttigieg,5.0,07/23/19,6927.0,,
Amy Klobuchar,3.0,07/23/19,1809.0,,
Andrew Yang,3.0,07/23/19,4452.0,,
Cory Booker,2.0,07/23/19,7931.0,,
John Hickenlooper,2.0,07/23/19,1523.0,,
Beto O'Rourke,2.0,07/23/19,7025.0,,
Julian Castro,1.0,07/23/19,2295.0,,
Bill de Blasio,1.0,07/23/19,6168.0,,
John Delaney,1.0,07/23/19,32.0,,
Kirsten Gillibrand,1.0,07/23/19,6714.0,,
Tom Steyer,1.0,07/23/19,5267.0,,
Michael Bennet,.0,07/23/19,1471.0,,
Steve Bullock,.0,07/23/19,16.0,,
Tulsi Gabbard,.0,07/23/19,12982.0,,
Jay Inslee,.0,07/23/19,821.0,,
Wayne Messam,.0,07/23/19,337.0,,
Tim Ryan,.0,07/23/19,64.0,,
Marianne Williamson,.0,07/23/19,13767.0,,
Seth Moulton,.0,07/23/19,771.0,,
Joe Sestak,.0,07/23/19,433.0,,
Joe Biden,39.0,07/22/19,5717.0,,
Kamala Harris,12.0,07/22/19,16306.0,,
Elizabeth Warren,9.0,07/22/19,11067.0,,
Pete Buttigieg,5.0,07/22/19,9072.0,,
Cory Booker,2.0,07/22/19,5062.0,,
Tom Steyer,2.0,07/22/19,7414.0,,
Michael Bennet,1.0,07/22/19,1567.0,,
Amy Klobuchar,1.0,07/22/19,1842.0,,
Beto O'Rourke,1.0,07/22/19,3310.0,,
Julian Castro,.0,07/22/19,1306.0,,
Bill de Blasio,.0,07/22/19,4043.0,,
Tulsi Gabbard,.0,07/22/19,16596.0,,
Kirsten Gillibrand,.0,07/22/19,6295.0,,
Jay Inslee,.0,07/22/19,734.0,,
Steve Bullock,.0,07/22/19,12.0,,
John Delaney,.0,07/22/19,22.0,,
Mike Gravel,.0,07/22/19,1245.0,,
John Hickenlooper,.0,07/22/19,921.0,,
Wayne Messam,.0,07/22/19,308.0,,
Seth Moulton,.0,07/22/19,599.0,,
Tim Ryan,.0,07/22/19,87.0,,
Joe Sestak,.0,07/22/19,516.0,,
Marianne Williamson,.0,07/22/19,7605.0,,
Andrew Yang,.0,07/22/19,4616.0,,
Joe Biden,31.0,07/22/19,5717.0,,
Beto O'Rourke,1.0,07/22/19,3310.0,,
Kamala Harris,14.0,07/22/19,16306.0,,
Elizabeth Warren,13.0,07/22/19,11067.0,,
Cory Booker,1.0,07/22/19,5062.0,,
Kirsten Gillibrand,.0,07/22/19,6295.0,,
Amy Klobuchar,1.0,07/22/19,1842.0,,
Julian Castro,1.0,07/22/19,1306.0,,
Tulsi Gabbard,1.0,07/22/19,16596.0,,
Jay Inslee,.0,07/22/19,734.0,,
John Hickenlooper,.0,07/22/19,921.0,,
John Delaney,.0,07/22/19,22.0,,
Pete Buttigieg,6.0,07/22/19,9072.0,,
Andrew Yang,1.0,07/22/19,4616.0,,
Marianne Williamson,.0,07/22/19,7605.0,,
Wayne Messam,.0,07/22/19,308.0,,
Tim Ryan,1.0,07/22/19,87.0,,
Seth Moulton,.0,07/22/19,599.0,,
Michael Bennet,.0,07/22/19,1567.0,,
Steve Bullock,.0,07/22/19,12.0,,
Bill de Blasio,.0,07/22/19,4043.0,,
Mike Gravel,.0,07/22/19,1245.0,,
Joe Sestak,.0,07/22/19,516.0,,
Tom Steyer,1.0,07/22/19,7414.0,,
Joe Biden,33.0,07/21/19,5991.0,,
Elizabeth Warren,14.0,07/21/19,7160.0,,
Kamala Harris,13.0,07/21/19,13160.0,,
Pete Buttigieg,5.0,07/21/19,7738.0,,
Beto O'Rourke,3.0,07/21/19,3260.0,,
Cory Booker,2.0,07/21/19,8320.0,,
Andrew Yang,2.0,07/21/19,4131.0,,
Amy Klobuchar,1.0,07/21/19,1237.0,,
Steve Bullock,1.0,07/21/19,48.0,,
Julian Castro,1.0,07/21/19,1454.0,,
Bill de Blasio,1.0,07/21/19,3729.0,,
John Delaney,1.0,07/21/19,23.0,,
Tulsi Gabbard,1.0,07/21/19,6233.0,,
Kirsten Gillibrand,1.0,07/21/19,5843.0,,
Tim Ryan,1.0,07/21/19,45.0,,
Tom Steyer,1.0,07/21/19,4443.0,,
Marianne Williamson,1.0,07/21/19,11919.0,,
Michael Bennet,.0,07/21/19,1347.0,,
John Hickenlooper,.0,07/21/19,905.0,,
Jay Inslee,.0,07/21/19,630.0,,
Seth Moulton,.0,07/21/19,561.0,,
Joe Biden,24.0,07/18/19,6276.0,,
Kamala Harris,23.0,07/18/19,22218.0,,
Elizabeth Warren,19.0,07/18/19,6654.0,,
Pete Buttigieg,6.0,07/18/19,9589.0,,
Beto O'Rourke,1.0,07/18/19,3079.0,,
Julian Castro,1.0,07/18/19,1646.0,,
Andrew Yang,1.0,07/18/19,6569.0,,
Tom Steyer,1.0,07/18/19,7052.0,,
Marianne Williamson,1.0,07/18/19,12511.0,,
Mike Gravel,1.0,07/18/19,1848.0,,
Cory Booker,1.0,07/18/19,3758.0,,
Amy Klobuchar,1.0,07/18/19,1647.0,,
Tulsi Gabbard,1.0,07/18/19,5580.0,,
Michael Bennet,1.0,07/18/19,1800.0,,
Steve Bullock,.0,07/18/19,30.0,,
Jay Inslee,.0,07/18/19,964.0,,
John Delaney,.0,07/18/19,14.0,,
John Hickenlooper,.0,07/18/19,874.0,,
Tim Ryan,.0,07/18/19,61.0,,
Wayne Messam,.0,07/18/19,465.0,,
Seth Moulton,.0,07/18/19,2633.0,,
Kirsten Gillibrand,.0,07/18/19,2327.0,,
Bill de Blasio,.0,07/18/19,3285.0,,
Joe Sestak,.0,07/18/19,784.0,,
Joe Biden,24.0,07/18/19,6276.0,,
Elizabeth Warren,17.0,07/18/19,6654.0,,
Kamala Harris,16.0,07/18/19,22218.0,,
Pete Buttigieg,7.0,07/18/19,9589.0,,
Amy Klobuchar,4.0,07/18/19,1647.0,,
Cory Booker,3.0,07/18/19,3758.0,,
Julian Castro,2.0,07/18/19,1646.0,,
Tom Steyer,2.0,07/18/19,7052.0,,
Beto O'Rourke,1.0,07/18/19,3079.0,,
John Delaney,1.0,07/18/19,14.0,,
Joe Sestak,1.0,07/18/19,784.0,,
Kirsten Gillibrand,1.0,07/18/19,2327.0,,
John Hickenlooper,1.0,07/18/19,874.0,,
Tulsi Gabbard,.0,07/18/19,5580.0,,
Mike Gravel,.0,07/18/19,1848.0,,
Marianne Williamson,.0,07/18/19,12511.0,,
Michael Bennet,.0,07/18/19,1800.0,,
Tim Ryan,.0,07/18/19,61.0,,
Andrew Yang,.0,07/18/19,6569.0,,
Steve Bullock,.0,07/18/19,30.0,,
Jay Inslee,.0,07/18/19,964.0,,
Bill de Blasio,.0,07/18/19,3285.0,,
Seth Moulton,.0,07/18/19,2633.0,,
Wayne Messam,.0,07/18/19,465.0,,
Joe Biden,27.0,07/18/19,6276.0,,
Elizabeth Warren,18.0,07/18/19,6654.0,,
Kamala Harris,12.0,07/18/19,22218.0,,
Pete Buttigieg,7.0,07/18/19,9589.0,,
Tulsi Gabbard,2.0,07/18/19,5580.0,,
Beto O'Rourke,2.0,07/18/19,3079.0,,
Amy Klobuchar,1.0,07/18/19,1647.0,,
John Delaney,1.0,07/18/19,14.0,,
Kirsten Gillibrand,1.0,07/18/19,2327.0,,
Tom Steyer,1.0,07/18/19,7052.0,,
Cory Booker,1.0,07/18/19,3758.0,,
Andrew Yang,1.0,07/18/19,6569.0,,
John Hickenlooper,1.0,07/18/19,874.0,,
Julian Castro,1.0,07/18/19,1646.0,,
Joe Sestak,.0,07/18/19,784.0,,
Michael Bennet,.0,07/18/19,1800.0,,
Steve Bullock,.0,07/18/19,30.0,,
Jay Inslee,.0,07/18/19,964.0,,
Marianne Williamson,.0,07/18/19,12511.0,,
Tim Ryan,.0,07/18/19,61.0,,
Mike Gravel,.0,07/18/19,1848.0,,
Bill de Blasio,.0,07/18/19,3285.0,,
Seth Moulton,.0,07/18/19,2633.0,,
Wayne Messam,.0,07/18/19,465.0,,
Joe Biden,39.0,07/18/19,6276.0,,
Kamala Harris,12.0,07/18/19,22218.0,,
Elizabeth Warren,12.0,07/18/19,6654.0,,
Pete Buttigieg,5.0,07/18/19,9589.0,,
Cory Booker,3.0,07/18/19,3758.0,,
Beto O'Rourke,2.0,07/18/19,3079.0,,
Tom Steyer,1.0,07/18/19,7052.0,,
Tim Ryan,1.0,07/18/19,61.0,,
John Delaney,1.0,07/18/19,14.0,,
Jay Inslee,1.0,07/18/19,964.0,,
Andrew Yang,1.0,07/18/19,6569.0,,
Amy Klobuchar,1.0,07/18/19,1647.0,,
Marianne Williamson,1.0,07/18/19,12511.0,,
John Hickenlooper,1.0,07/18/19,874.0,,
Tulsi Gabbard,.0,07/18/19,5580.0,,
Julian Castro,.0,07/18/19,1646.0,,
Michael Bennet,.0,07/18/19,1800.0,,
Bill de Blasio,.0,07/18/19,3285.0,,
Kirsten Gillibrand,.0,07/18/19,2327.0,,
Mike Gravel,.0,07/18/19,1848.0,,
Steve Bullock,.0,07/18/19,30.0,,
Joe Sestak,.0,07/18/19,784.0,,
Seth Moulton,.0,07/18/19,2633.0,,
Wayne Messam,.0,07/18/19,465.0,,
Joe Biden,27.0,07/18/19,6276.0,,
Beto O'Rourke,17.0,07/18/19,3079.0,,
Elizabeth Warren,16.0,07/18/19,6654.0,,
Kamala Harris,12.0,07/18/19,22218.0,,
Pete Buttigieg,4.0,07/18/19,9589.0,,
Julian Castro,4.0,07/18/19,1646.0,,
Andrew Yang,1.0,07/18/19,6569.0,,
Tim Ryan,1.0,07/18/19,61.0,,
Tulsi Gabbard,1.0,07/18/19,5580.0,,
Kirsten Gillibrand,1.0,07/18/19,2327.0,,
Amy Klobuchar,1.0,07/18/19,1647.0,,
John Delaney,1.0,07/18/19,14.0,,
Joe Sestak,.0,07/18/19,784.0,,
Steve Bullock,.0,07/18/19,30.0,,
Jay Inslee,.0,07/18/19,964.0,,
John Hickenlooper,.0,07/18/19,874.0,,
Bill de Blasio,.0,07/18/19,3285.0,,
Cory Booker,.0,07/18/19,3758.0,,
Seth Moulton,.0,07/18/19,2633.0,,
Tom Steyer,.0,07/18/19,7052.0,,
Michael Bennet,.0,07/18/19,1800.0,,
Marianne Williamson,.0,07/18/19,12511.0,,
Wayne Messam,.0,07/18/19,465.0,,
Mike Gravel,.0,07/18/19,1848.0,,
Joe Biden,26.0,07/17/19,7616.0,,
Cory Booker,2.0,07/17/19,3903.0,,
Pete Buttigieg,4.0,07/17/19,11713.0,,
Julian Castro,1.0,07/17/19,1571.0,,
John Delaney,1.0,07/17/19,26.0,,
Tulsi Gabbard,.0,07/17/19,6295.0,,
Kirsten Gillibrand,1.0,07/17/19,1874.0,,
Kamala Harris,10.0,07/17/19,21757.0,,
John Hickenlooper,1.0,07/17/19,737.0,,
Jay Inslee,.0,07/17/19,989.0,,
Amy Klobuchar,1.0,07/17/19,1558.0,,
Beto O'Rourke,4.0,07/17/19,3376.0,,
Elizabeth Warren,9.0,07/17/19,6601.0,,
Marianne Williamson,.0,07/17/19,8766.0,,
Andrew Yang,1.0,07/17/19,6103.0,,
Mike Gravel,.0,07/17/19,1984.0,,
Wayne Messam,.0,07/17/19,565.0,,
Seth Moulton,1.0,07/17/19,782.0,,
Tim Ryan,1.0,07/17/19,56.0,,
Michael Bennet,.0,07/17/19,2003.0,,
Steve Bullock,.0,07/17/19,41.0,,
Bill de Blasio,.0,07/17/19,3554.0,,
Joe Sestak,.0,07/17/19,887.0,,
Tom Steyer,1.0,07/17/19,13615.0,,
Amy Klobuchar,1.0,07/17/19,1558.0,,
