Candidate,Poll_Percent,Wikipedia_Traffic,Date,,
Joe Biden,28.0,6657.0,206.0,,
Pete Buttigieg,5.0,5562.0,206.0,,
Kamala Harris,10.0,12765.0,206.0,,
Bernie Sanders,11.0,5560.0,206.0,,
Elizabeth Warren,10.0,6405.0,206.0,,
Joe Biden,25.0,5476.0,204.0,,
Pete Buttigieg,6.0,6927.0,204.0,,
Kamala Harris,9.0,14048.0,204.0,,
Bernie Sanders,13.0,6871.0,204.0,,
Elizabeth Warren,18.0,8128.0,204.0,,
Joe Biden,33.0,5476.0,204.0,,
Bernie Sanders,15.0,6871.0,204.0,,
Elizabeth Warren,12.0,8128.0,204.0,,
Kamala Harris,10.0,14048.0,204.0,,
Pete Buttigieg,5.0,6927.0,204.0,,
Joe Biden,33.0,5991.0,202.0,,
Bernie Sanders,18.0,8689.0,202.0,,
Elizabeth Warren,14.0,7160.0,202.0,,
Kamala Harris,13.0,13160.0,202.0,,
Pete Buttigieg,5.0,7738.0,202.0,,
Joe Biden,26.0,7616.0,198.0,,
Pete Buttigieg,4.0,11713.0,198.0,,
Kamala Harris,10.0,21757.0,198.0,,
Bernie Sanders,14.0,7621.0,198.0,,
Elizabeth Warren,9.0,6601.0,198.0,,
Joe Biden,23.0,9550.0,197.0,,
Pete Buttigieg,7.0,10671.0,197.0,,
Kamala Harris,10.0,17125.0,197.0,,
Bernie Sanders,13.0,7696.0,197.0,,
Elizabeth Warren,15.0,7519.0,197.0,,
Joe Biden,25.0,9550.0,197.0,,
Bernie Sanders,16.0,7696.0,197.0,,
Elizabeth Warren,16.0,7519.0,197.0,,
Kamala Harris,14.0,17125.0,197.0,,
Pete Buttigieg,8.0,10671.0,197.0,,
Joe Biden,32.0,6576.0,195.0,,
Bernie Sanders,19.0,5866.0,195.0,,
Elizabeth Warren,14.0,6897.0,195.0,,
Kamala Harris,13.0,14933.0,195.0,,
Pete Buttigieg,5.0,17572.0,195.0,,
Joe Biden,25.0,6576.0,195.0,,
Elizabeth Warren,23.0,6897.0,195.0,,
Kamala Harris,17.0,14933.0,195.0,,
Bernie Sanders,16.0,5866.0,195.0,,
Pete Buttigieg,6.0,17572.0,195.0,,
Joe Biden,29.0,6311.0,194.0,,
Bernie Sanders,16.0,5892.0,194.0,,
Kamala Harris,11.0,17662.0,194.0,,
Elizabeth Warren,9.0,5913.0,194.0,,
Pete Buttigieg,1.0,9153.0,194.0,,
Joe Biden,22.0,15609.0,190.0,,
