Candidate,Poll_Percent,Date,
Joe Biden,28.0,206.0,
Pete Buttigieg,5.0,206.0,
Kamala Harris,10.0,206.0,
Bernie Sanders,11.0,206.0,
Elizabeth Warren,10.0,206.0,
Joe Biden,25.0,204.0,
Pete Buttigieg,6.0,204.0,
Kamala Harris,9.0,204.0,
Bernie Sanders,13.0,204.0,
Elizabeth Warren,18.0,204.0,
Joe Biden,33.0,204.0,
Bernie Sanders,15.0,204.0,
Elizabeth Warren,12.0,204.0,
Kamala Harris,10.0,204.0,
Pete Buttigieg,5.0,204.0,
Joe Biden,33.0,202.0,
Bernie Sanders,18.0,202.0,
Elizabeth Warren,14.0,202.0,
Kamala Harris,13.0,202.0,
Pete Buttigieg,5.0,202.0,
Joe Biden,26.0,198.0,
Pete Buttigieg,4.0,198.0,
Kamala Harris,10.0,198.0,
Bernie Sanders,14.0,198.0,
Elizabeth Warren,9.0,198.0,
Joe Biden,23.0,197.0,
Pete Buttigieg,7.0,197.0,
Kamala Harris,10.0,197.0,
Bernie Sanders,13.0,197.0,
Elizabeth Warren,15.0,197.0,
Joe Biden,25.0,197.0,
Bernie Sanders,16.0,197.0,
Elizabeth Warren,16.0,197.0,
Kamala Harris,14.0,197.0,
Pete Buttigieg,8.0,197.0,
Joe Biden,32.0,195.0,
Bernie Sanders,19.0,195.0,
Elizabeth Warren,14.0,195.0,
Kamala Harris,13.0,195.0,
Pete Buttigieg,5.0,195.0,
Joe Biden,25.0,195.0,
Elizabeth Warren,23.0,195.0,
Kamala Harris,17.0,195.0,
Bernie Sanders,16.0,195.0,
Pete Buttigieg,6.0,195.0,
Joe Biden,29.0,194.0,
Bernie Sanders,16.0,194.0,
Kamala Harris,11.0,194.0,
Elizabeth Warren,9.0,194.0,
Pete Buttigieg,1.0,194.0,
Joe Biden,22.0,190.0,
Pete Buttigieg,5.0,190.0,
Kamala Harris,14.0,190.0,
Bernie Sanders,11.0,190.0,
Elizabeth Warren,17.0,190.0,
Joe Biden,26.0,190.0,
Elizabeth Warren,19.0,190.0,
Kamala Harris,13.0,190.0,
Bernie Sanders,13.0,190.0,
Pete Buttigieg,7.0,190.0,
Bernie Sanders,15.4,189.0,
Elizabeth Warren,14.5,189.0,
Joe Biden,29.7,189.0,
Pete Buttigieg,5.3,189.0,
Kamala Harris,15.2,189.0,
Joe Biden,31.0,188.0,
Bernie Sanders,19.0,188.0,
Kamala Harris,14.0,188.0,
Elizabeth Warren,13.0,188.0,
Pete Buttigieg,6.0,188.0,
Joe Biden,21.0,183.0,
Pete Buttigieg,9.0,183.0,
Kamala Harris,13.0,183.0,
Bernie Sanders,10.0,183.0,
Elizabeth Warren,18.0,183.0,
Joe Biden,22.0,183.0,
Bernie Sanders,16.0,183.0,
Kamala Harris,10.0,183.0,
Elizabeth Warren,9.0,183.0,
Pete Buttigieg,3.0,183.0,
Joe Biden,24.0,183.0,
Kamala Harris,11.0,183.0,
Elizabeth Warren,11.0,183.0,
Bernie Sanders,17.0,183.0,
Pete Buttigieg,4.0,183.0,
Joe Biden,23.0,183.0,
Elizabeth Warren,22.0,183.0,
Kamala Harris,17.0,183.0,
Bernie Sanders,15.0,183.0,
Pete Buttigieg,7.0,183.0,
Joe Biden,28.0,182.0,
Bernie Sanders,14.0,182.0,
Kamala Harris,13.0,182.0,
Elizabeth Warren,9.0,182.0,
Pete Buttigieg,4.0,182.0,
Joe Biden,22.0,182.0,
Bernie Sanders,13.0,182.0,
Kamala Harris,20.0,182.0,
Elizabeth Warren,14.0,182.0,
Pete Buttigieg,4.0,182.0,
Joe Biden,28.0,182.0,
Bernie Sanders,16.0,182.0,
Kamala Harris,11.0,182.0,
Elizabeth Warren,10.0,182.0,
Pete Buttigieg,3.0,182.0,
Joe Biden,25.0,182.0,
Bernie Sanders,18.0,182.0,
Kamala Harris,9.0,182.0,
Elizabeth Warren,9.0,182.0,
Pete Buttigieg,3.0,182.0,
Joe Biden,30.0,182.0,
Bernie Sanders,19.0,182.0,
Kamala Harris,13.0,182.0,
Elizabeth Warren,12.0,182.0,
Pete Buttigieg,4.0,182.0,
Joe Biden,29.0,182.0,
Bernie Sanders,23.0,182.0,
Kamala Harris,11.0,182.0,
Elizabeth Warren,11.0,182.0,
Pete Buttigieg,4.0,182.0,
Elizabeth Warren,22.0,182.0,
Kamala Harris,21.0,182.0,
Joe Biden,18.0,182.0,
Bernie Sanders,17.0,182.0,
Pete Buttigieg,10.0,182.0,
Joe Biden,33.0,181.0,
Bernie Sanders,15.0,181.0,
Kamala Harris,11.0,181.0,
Elizabeth Warren,9.0,181.0,
Pete Buttigieg,6.0,181.0,
Joe Biden,28.0,181.0,
Bernie Sanders,14.0,181.0,
Kamala Harris,11.0,181.0,
Elizabeth Warren,8.0,181.0,
Pete Buttigieg,4.0,181.0,
Kamala Harris,41.0,181.0,
Joe Biden,40.0,181.0,
Bernie Sanders,41.0,181.0,
Kamala Harris,39.0,181.0,
Elizabeth Warren,35.0,181.0,
Kamala Harris,34.0,181.0,
Joe Biden,41.0,181.0,
Bernie Sanders,40.0,181.0,
Bernie Sanders,41.0,181.0,
Elizabeth Warren,36.0,181.0,
Joe Biden,41.0,181.0,
Elizabeth Warren,40.0,181.0,
Joe Biden,22.0,181.0,
Kamala Harris,17.0,181.0,
Elizabeth Warren,15.0,181.0,
Bernie Sanders,14.0,181.0,
Pete Buttigieg,4.0,181.0,
Joe Biden,31.0,181.0,
Elizabeth Warren,14.4,181.0,
Bernie Sanders,16.8,181.0,
Kamala Harris,16.8,181.0,
Pete Buttigieg,5.9,181.0,
Joe Biden,27.0,180.0,
Bernie Sanders,18.0,180.0,
Kamala Harris,8.0,180.0,
Elizabeth Warren,8.0,180.0,
Pete Buttigieg,3.0,180.0,
Joe Biden,34.0,180.0,
Bernie Sanders,15.0,180.0,
Elizabeth Warren,11.0,180.0,
Kamala Harris,9.0,180.0,
Pete Buttigieg,3.0,180.0,
Joe Biden,33.0,179.0,
Bernie Sanders,19.0,179.0,
Kamala Harris,12.0,179.0,
Elizabeth Warren,12.0,179.0,
Pete Buttigieg,6.0,179.0,
Joe Biden,30.0,179.0,
Pete Buttigieg,4.0,179.0,
Kamala Harris,5.0,179.0,
Bernie Sanders,20.0,179.0,
Elizabeth Warren,10.0,179.0,
Joe Biden,32.5,178.0,
Elizabeth Warren,17.0,178.0,
Bernie Sanders,17.1,178.0,
Kamala Harris,6.7,178.0,
Pete Buttigieg,4.5,178.0,
Joe Biden,31.0,178.0,
Pete Buttigieg,4.0,178.0,
Kamala Harris,5.0,178.0,
Bernie Sanders,17.0,178.0,
Elizabeth Warren,10.0,178.0,
Joe Biden,30.0,177.0,
Elizabeth Warren,24.0,177.0,
Bernie Sanders,16.0,177.0,
Kamala Harris,7.0,177.0,
Pete Buttigieg,7.0,177.0,
Joe Biden,29.0,177.0,
Bernie Sanders,17.0,177.0,
Elizabeth Warren,9.0,177.0,
Kamala Harris,6.0,177.0,
Pete Buttigieg,3.0,177.0,
Joe Biden,35.2,177.0,
Bernie Sanders,18.2,177.0,
Elizabeth Warren,12.4,177.0,
Pete Buttigieg,6.0,177.0,
Kamala Harris,6.1,177.0,
Joe Biden,24.0,176.0,
Pete Buttigieg,5.0,176.0,
Kamala Harris,7.0,176.0,
Bernie Sanders,15.0,176.0,
Elizabeth Warren,18.0,176.0,
Joe Biden,32.0,176.0,
Bernie Sanders,15.0,176.0,
Elizabeth Warren,11.0,176.0,
Pete Buttigieg,9.0,176.0,
Kamala Harris,6.0,176.0,
Joe Biden,57.0,176.0,
Bernie Sanders,27.0,176.0,
Joe Biden,56.0,176.0,
Elizabeth Warren,26.0,176.0,
Joe Biden,33.9,175.0,
Bernie Sanders,27.1,175.0,
Elizabeth Warren,14.2,175.0,
Pete Buttigieg,6.3,175.0,
Kamala Harris,7.0,175.0,
Joe Biden,34.0,175.0,
Bernie Sanders,17.0,175.0,
Elizabeth Warren,11.0,175.0,
Kamala Harris,6.0,175.0,
Pete Buttigieg,6.0,175.0,
Joe Biden,38.0,174.0,
Bernie Sanders,19.0,174.0,
Elizabeth Warren,13.0,174.0,
Pete Buttigieg,7.0,174.0,
Kamala Harris,6.0,174.0,
Elizabeth Warren,22.0,172.0,
Kamala Harris,8.0,172.0,
Joe Biden,24.0,172.0,
Bernie Sanders,22.0,172.0,
Pete Buttigieg,13.0,172.0,
Joe Biden,26.0,169.0,
Pete Buttigieg,9.0,169.0,
Kamala Harris,7.0,169.0,
Bernie Sanders,13.0,169.0,
Elizabeth Warren,14.0,169.0,
Joe Biden,32.0,168.0,
Elizabeth Warren,15.0,168.0,
Bernie Sanders,14.0,168.0,
Kamala Harris,8.0,168.0,
Pete Buttigieg,5.0,168.0,
Joe Biden,38.0,167.0,
Bernie Sanders,19.0,167.0,
Elizabeth Warren,11.0,167.0,
Pete Buttigieg,7.0,167.0,
Kamala Harris,7.0,167.0,
Joe Biden,35.0,166.0,
Bernie Sanders,13.0,166.0,
Elizabeth Warren,7.0,166.0,
Kamala Harris,5.0,166.0,
Pete Buttigieg,4.0,166.0,
Joe Biden,30.1,166.0,
Pete Buttigieg,9.4,166.0,
Kamala Harris,8.3,166.0,
Bernie Sanders,15.3,166.0,
Elizabeth Warren,9.6,166.0,
Joe Biden,35.0,164.0,
Bernie Sanders,14.0,164.0,
Elizabeth Warren,10.0,164.0,
Kamala Harris,9.0,164.0,
Pete Buttigieg,8.0,164.0,
Joe Biden,32.0,163.0,
Bernie Sanders,13.0,163.0,
Elizabeth Warren,9.0,163.0,
Pete Buttigieg,8.0,163.0,
Kamala Harris,8.0,163.0,
Joe Biden,30.0,161.0,
Bernie Sanders,19.0,161.0,
Kamala Harris,7.0,161.0,
Elizabeth Warren,15.0,161.0,
Pete Buttigieg,8.0,161.0,
Joe Biden,26.0,161.0,
Bernie Sanders,21.0,161.0,
Elizabeth Warren,19.0,161.0,
Pete Buttigieg,14.0,161.0,
Kamala Harris,8.0,161.0,
Joe Biden,37.0,160.0,
Bernie Sanders,19.0,160.0,
Elizabeth Warren,11.0,160.0,
Pete Buttigieg,7.0,160.0,
Kamala Harris,7.0,160.0,
Joe Biden,30.0,156.0,
Kamala Harris,6.0,156.0,
Elizabeth Warren,8.0,156.0,
Bernie Sanders,15.0,156.0,
Pete Buttigieg,5.0,156.0,
Joe Biden,31.0,156.0,
Kamala Harris,6.0,156.0,
Elizabeth Warren,9.0,156.0,
Bernie Sanders,14.0,156.0,
Pete Buttigieg,5.0,156.0,
Joe Biden,29.0,154.0,
Bernie Sanders,17.0,154.0,
Elizabeth Warren,16.0,154.0,
Pete Buttigieg,13.0,154.0,
Kamala Harris,12.0,154.0,
Joe Biden,35.0,153.0,
Bernie Sanders,16.0,153.0,
Elizabeth Warren,5.0,153.0,
Kamala Harris,4.0,153.0,
Pete Buttigieg,8.0,153.0,
Joe Biden,38.0,153.0,
Bernie Sanders,19.0,153.0,
Elizabeth Warren,10.0,153.0,
Kamala Harris,7.0,153.0,
Pete Buttigieg,7.0,153.0,
Joe Biden,32.0,151.0,
Bernie Sanders,18.0,151.0,
Kamala Harris,8.0,151.0,
Elizabeth Warren,7.0,151.0,
Pete Buttigieg,5.0,151.0,
Joe Biden,36.0,150.0,
Bernie Sanders,17.0,150.0,
Kamala Harris,8.0,150.0,
Elizabeth Warren,5.0,150.0,
Pete Buttigieg,5.0,150.0,
Elizabeth Warren,41.0,150.0,
Joe Biden,39.0,150.0,
