Date,Bernie_Sanders,Elizabeth_Warren,Joe_Biden,Kamala_Harris,Pete_Buttigieg
6.0,6225.0,31953.0,7112.0,9421.0,.0
13.0,6534.0,9621.0,10088.0,39178.0,.0
14.0,5865.0,21779.0,7738.0,25399.0,.0
16.0,5667.0,8678.0,6471.0,31179.0,.0
20.0,4820.0,15806.0,6128.0,13575.0,.0
21.0,8182.0,18222.0,10019.0,607080.0,.0
22.0,12340.0,13268.0,10393.0,484659.0,.0
24.0,5632.0,8262.0,8059.0,163271.0,.0
27.0,13169.0,8019.0,6980.0,260497.0,7576.0
33.0,5966.0,10369.0,6414.0,66490.0,6537.0
34.0,5819.0,7008.0,6118.0,52476.0,10259.0
41.0,8387.0,79230.0,8967.0,31588.0,10791.0
42.0,7359.0,33716.0,10922.0,69362.0,.0
47.0,6904.0,6065.0,12321.0,24828.0,16688.0
48.0,10158.0,6599.0,11138.0,28080.0,8276.0
49.0,8134.0,6133.0,10587.0,28258.0,.0
51.0,117929.0,15793.0,19569.0,41581.0,.0
54.0,28977.0,6378.0,8844.0,39539.0,7018.0
55.0,25913.0,5576.0,9340.0,35444.0,6400.0
62.0,44505.0,11130.0,10398.0,13573.0,8005.0
63.0,32610.0,4985.0,8447.0,13941.0,8509.0
69.0,20936.0,8770.0,16428.0,10469.0,6666.0
76.0,14083.0,5438.0,27411.0,10472.0,47530.0
77.0,14034.0,6272.0,24597.0,12345.0,30367.0
79.0,11868.0,8623.0,18915.0,26832.0,43628.0
83.0,10231.0,4649.0,10149.0,12503.0,43862.0
84.0,9445.0,4619.0,8766.0,10382.0,43874.0
85.0,7593.0,8224.0,7436.0,13847.0,45960.0
90.0,8153.0,4246.0,18306.0,10511.0,59624.0
96.0,11086.0,3475.0,24099.0,9207.0,45446.0
97.0,10558.0,3634.0,21305.0,7491.0,73910.0
104.0,9765.0,4052.0,6617.0,15293.0,144986.0
105.0,19171.0,6348.0,7571.0,13828.0,169216.0
109.0,12571.0,4879.0,14908.0,8443.0,50757.0
111.0,12009.0,7270.0,9638.0,7999.0,50944.0
113.0,24420.0,38543.0,19375.0,45785.0,92221.0
115.0,25192.0,14270.0,175364.0,17564.0,47811.0
118.0,11929.0,7702.0,33611.0,12336.0,20804.0
119.0,10211.0,8833.0,41135.0,9455.0,22216.0
121.0,9162.0,6950.0,33518.0,21593.0,24306.0
124.0,8333.0,4975.0,15369.0,31467.0,20745.0
125.0,9447.0,9119.0,17412.0,16998.0,18694.0
129.0,10288.0,5494.0,15463.0,8467.0,12389.0
131.0,7145.0,6291.0,12341.0,8952.0,17599.0
132.0,7136.0,6986.0,12345.0,26033.0,17592.0
133.0,6621.0,5944.0,11327.0,18185.0,12327.0
134.0,7175.0,8443.0,12153.0,10617.0,23218.0
138.0,6853.0,5550.0,17497.0,6915.0,12929.0
139.0,8781.0,5623.0,15634.0,7083.0,33743.0
140.0,6932.0,5357.0,11952.0,11009.0,45858.0
141.0,6402.0,4903.0,14768.0,7809.0,34519.0
145.0,7747.0,4548.0,6961.0,6214.0,18951.0
146.0,6828.0,4246.0,10587.0,5671.0,29872.0
150.0,5699.0,9937.0,11262.0,9120.0,12493.0
151.0,5748.0,9149.0,8923.0,6499.0,10237.0
153.0,5565.0,6822.0,7360.0,22890.0,9108.0
154.0,5710.0,5312.0,8701.0,22413.0,12977.0
156.0,6181.0,7421.0,11385.0,5732.0,12147.0
160.0,6259.0,10079.0,10125.0,7310.0,16022.0
161.0,6289.0,10505.0,9622.0,6684.0,13175.0
163.0,7475.0,8292.0,29646.0,9617.0,12433.0
164.0,7955.0,8252.0,17900.0,8589.0,10926.0
166.0,6148.0,10245.0,10778.0,6153.0,9853.0
167.0,7653.0,10402.0,12810.0,7913.0,19587.0
168.0,6833.0,13505.0,12919.0,6600.0,17900.0
169.0,7100.0,9594.0,12718.0,6074.0,13323.0
172.0,6056.0,9261.0,15245.0,6977.0,8281.0
174.0,6553.0,10356.0,11620.0,10420.0,16260.0
175.0,10238.0,13124.0,9400.0,9454.0,18340.0
176.0,9859.0,18317.0,10613.0,8427.0,11988.0
177.0,10439.0,19838.0,11201.0,10269.0,12496.0
178.0,19683.0,111914.0,22586.0,25380.0,27640.0
179.0,63200.0,42693.0,151823.0,654510.0,261255.0
180.0,16635.0,21405.0,32294.0,269752.0,51455.0
181.0,12581.0,15015.0,18993.0,217271.0,26624.0
182.0,10724.0,11992.0,17357.0,163964.0,26412.0
183.0,8942.0,13376.0,16796.0,108765.0,20012.0
188.0,6522.0,7029.0,11712.0,39144.0,8957.0
189.0,6469.0,8268.0,9680.0,33122.0,8654.0
190.0,6161.0,7723.0,15609.0,29478.0,8543.0
194.0,5892.0,5913.0,6311.0,17662.0,9153.0
195.0,5866.0,6897.0,6576.0,14933.0,17572.0
197.0,7696.0,7519.0,9550.0,17125.0,10671.0
198.0,7621.0,6601.0,7616.0,21757.0,11713.0
202.0,8689.0,7160.0,5991.0,13160.0,7738.0
204.0,6871.0,8128.0,5476.0,14048.0,6927.0
206.0,5560.0,6405.0,6657.0,12765.0,5562.0
