Candidate,Wikipedia_Traffic,Date
Joe Biden,6657,206
Pete Buttigieg,5562,206
Kamala Harris,12765,206
Bernie Sanders,5560,206
Elizabeth Warren,6405,206
Joe Biden,5476,204
Pete Buttigieg,6927,204
Kamala Harris,14048,204
Bernie Sanders,6871,204
Elizabeth Warren,8128,204
Joe Biden,5476,204
Bernie Sanders,6871,204
Elizabeth Warren,8128,204
Kamala Harris,14048,204
Pete Buttigieg,6927,204
Joe Biden,5991,202
Bernie Sanders,8689,202
Elizabeth Warren,7160,202
Kamala Harris,13160,202
Pete Buttigieg,7738,202
Joe Biden,7616,198
Pete Buttigieg,11713,198
Kamala Harris,21757,198
Bernie Sanders,7621,198
Elizabeth Warren,6601,198
Joe Biden,9550,197
Pete Buttigieg,10671,197
Kamala Harris,17125,197
Bernie Sanders,7696,197
Elizabeth Warren,7519,197
Joe Biden,9550,197
Bernie Sanders,7696,197
Elizabeth Warren,7519,197
Kamala Harris,17125,197
Pete Buttigieg,10671,197
Joe Biden,6576,195
Bernie Sanders,5866,195
Elizabeth Warren,6897,195
Kamala Harris,14933,195
Pete Buttigieg,17572,195
Joe Biden,6576,195
Elizabeth Warren,6897,195
Kamala Harris,14933,195
Bernie Sanders,5866,195
Pete Buttigieg,17572,195
Joe Biden,6311,194
Bernie Sanders,5892,194
Kamala Harris,17662,194
Elizabeth Warren,5913,194
Pete Buttigieg,9153,194
Joe Biden,15609,190
Pete Buttigieg,8543,190
Kamala Harris,29478,190
Bernie Sanders,6161,190
Elizabeth Warren,7723,190
Joe Biden,15609,190
Elizabeth Warren,7723,190
Kamala Harris,29478,190
Bernie Sanders,6161,190
Pete Buttigieg,8543,190
Bernie Sanders,6469,189
Elizabeth Warren,8268,189
Joe Biden,9680,189
Pete Buttigieg,8654,189
Kamala Harris,33122,189
Joe Biden,11712,188
Bernie Sanders,6522,188
Kamala Harris,39144,188
Elizabeth Warren,7029,188
Pete Buttigieg,8957,188
Joe Biden,16796,183
Pete Buttigieg,20012,183
Kamala Harris,108765,183
Bernie Sanders,8942,183
Elizabeth Warren,13376,183
Joe Biden,16796,183
Bernie Sanders,8942,183
Kamala Harris,108765,183
Elizabeth Warren,13376,183
Pete Buttigieg,20012,183
Joe Biden,16796,183
Kamala Harris,108765,183
Elizabeth Warren,13376,183
Bernie Sanders,8942,183
