Delegates,Date,Candidate,Poll_Percent
41,2/3/20,Bernie Sanders,19
24,2/11/20,Bernie Sanders,20
36,2/22/20,Bernie Sanders,13
54,2/29/20,Bernie Sanders,10
52,3/3/20,Bernie Sanders,15
416,3/3/20,Bernie Sanders,16
91,3/3/20,Bernie Sanders,6.22
228,3/3/20,Bernie Sanders,12
99,3/3/20,Bernie Sanders,17
125,3/10/20,Bernie Sanders,16
36,3/10/20,Bernie Sanders,21
136,3/10/20,Bernie Sanders,14
219,3/17/20,Bernie Sanders,8
77,4/7/20,Bernie Sanders,13.1
153,4/28/20,Bernie Sanders,14.9
41,2/3/20,Elizabeth Warren,17
24,2/11/20,Elizabeth Warren,18
36,2/22/20,Elizabeth Warren,19
54,2/29/20,Elizabeth Warren,9
52,3/3/20,Elizabeth Warren,9
416,3/3/20,Elizabeth Warren,19
91,3/3/20,Elizabeth Warren,10.27
228,3/3/20,Elizabeth Warren,16
99,3/3/20,Elizabeth Warren,13
125,3/10/20,Elizabeth Warren,14
36,3/10/20,Elizabeth Warren,7
136,3/10/20,Elizabeth Warren,13
219,3/17/20,Elizabeth Warren,11.8
77,4/7/20,Elizabeth Warren,13.5
153,4/28/20,Elizabeth Warren,7.7
41,2/3/20,Joe Biden,24
24,2/11/20,Joe Biden,27
36,2/22/20,Joe Biden,36
54,2/29/20,Joe Biden,39
52,3/3/20,Joe Biden,36
416,3/3/20,Joe Biden,24
91,3/3/20,Joe Biden,21.62
228,3/3/20,Joe Biden,27
99,3/3/20,Joe Biden,36
125,3/10/20,Joe Biden,35
36,3/10/20,Joe Biden,47
136,3/10/20,Joe Biden,31
219,3/17/20,Joe Biden,47.4
77,4/7/20,Joe Biden,28.3
153,4/28/20,Joe Biden,46
41,2/3/20,Kamala Harris,16
24,2/11/20,Kamala Harris,12
36,2/22/20,Kamala Harris,6
54,2/29/20,Kamala Harris,12
52,3/3/20,Kamala Harris,13
416,3/3/20,Kamala Harris,23
91,3/3/20,Kamala Harris,4.59
228,3/3/20,Kamala Harris,12
99,3/3/20,Kamala Harris,7
125,3/10/20,Kamala Harris,8
36,3/10/20,Kamala Harris,8
136,3/10/20,Kamala Harris,14
219,3/17/20,Kamala Harris,6.2
77,4/7/20,Kamala Harris,7.3
153,4/28/20,Kamala Harris,3.1
41,2/3/20,Pete Buttigieg,7
24,2/11/20,Pete Buttigieg,7
36,2/22/20,Pete Buttigieg,7
54,2/29/20,Pete Buttigieg,5
52,3/3/20,Pete Buttigieg,5
416,3/3/20,Pete Buttigieg,6
91,3/3/20,Pete Buttigieg,8.38
228,3/3/20,Pete Buttigieg,4
99,3/3/20,Pete Buttigieg,11
125,3/10/20,Pete Buttigieg,4
36,3/10/20,Pete Buttigieg,3
136,3/10/20,Pete Buttigieg,6
219,3/17/20,Pete Buttigieg,8.4
77,4/7/20,Pete Buttigieg,6.7
153,4/28/20,Pete Buttigieg,8.5
